Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	7.681443108452691	4.090510075522537	14.335333	1.8807597	6.666666666666667	0.006047998089343309	0.0	0.0	0.05683065950870514
2	11.33610595703125	4.753556696783078	25.816172	1.8807597	13.92	0.0041358741000294685	0.0	-0.010593545623123646	0.05628911405801773
3	17.183683069740855	8.989181177355881	35.03317	1.8807597	21.75609756097561	0.00026045326376333833	0.0	-0.015828890725970268	0.05637263506650925
4	20.422307600054825	9.818342576307046	35.03317	1.8807597	29.68421052631579	-0.0034140192437916994	0.0	-0.01693599671125412	0.05550320819020271
5	17.304786159567637	11.574289389486308	35.03317	-13.067348	37.64383561643836	-0.007542796432971954	0.0	-0.015411082655191422	0.05408842861652374
6	13.096989663799157	14.034296780765967	35.03317	-13.067348	45.61797752808989	-0.005007968749850988	0.0	-0.01247741561383009	0.051769599318504333
7	12.53495396205357	13.287897846035191	35.03317	-13.067348	53.6	-0.0024548396468162537	0.0	-0.01125350035727024	0.04900743439793587
8	10.679475642432852	13.781991685126076	35.03317	-26.275108	61.586776859504134	-0.0030467184260487556	0.0	-0.010653985664248466	0.04661761596798897
9	5.402758076243157	20.499875517024577	35.03317	-81.47528	69.57664233576642	-0.007683661766350269	0.0	-0.007306414656341076	0.04484007880091667
10	-4.415727203967524	35.463144244034574	35.03317	-132.45067	77.56862745098039	-0.01529366709291935	0.0	-0.0032213081140071154	0.04452655464410782
11	-16.86504657451923	51.40499365607455	35.03317	-165.52461	85.56213017751479	-0.016501430422067642	0.0	-0.001938659232109785	0.0453365296125412
12	-30.011417863175677	65.2056984327912	35.03317	-192.50122	93.55675675675676	-0.01694466359913349	0.0	-0.0038564286660403013	0.04698442667722702
