Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	5.666666666666667	3.9440531887330774	15.0	1.0	6.666666666666667	-0.044648122042417526	0.0	0.0	-0.023776406422257423
2	12.92	7.878680005737794	31.0	1.0	13.92	-0.025129079818725586	0.0	-0.0019233531784266233	-0.03179420530796051
3	20.75609756097561	12.254974646335139	47.0	1.0	21.75609756097561	-0.022437317296862602	0.0	-0.003997684922069311	-0.033310551196336746
4	28.68421052631579	16.759556284001757	63.0	1.0	29.68421052631579	-0.023578280583024025	0.0	-0.009247522801160812	-0.041450172662734985
5	36.62328767123287	21.27482937008021	78.0	1.0	37.64383561643836	-0.01788829080760479	0.0	-0.0184378270059824	-0.057158514857292175
6	44.449438202247194	25.6458208780931	94.0	1.0	45.61797752808989	-0.008785214275121689	0.0	-0.025009725242853165	-0.06421483308076859
7	52.304761904761904	30.118535662880266	110.0	1.0	53.6	-0.007148283533751965	0.0	-0.026563430204987526	-0.07025287300348282
8	60.19834710743802	34.66453757500965	126.0	1.0	61.586776859504134	-0.00653453916311264	0.0	-0.029147664085030556	-0.07512930035591125
9	68.11131386861314	39.23763113492317	141.0	1.0	69.57664233576642	-0.005477314814925194	0.0	-0.03758656978607178	-0.08482000976800919
10	75.9673202614379	43.71527333265823	157.0	1.0	77.56862745098039	0.0015088884392753243	0.0	-0.0421631820499897	-0.09269079566001892
11	83.82840236686391	48.21831708045197	173.0	1.0	85.56213017751479	0.00177948665805161	0.0	-0.044557858258485794	-0.09735734760761261
12	91.71351351351352	52.7662793504193	189.0	1.0	93.55675675675676	0.0015973264817148447	0.0	-0.047866690903902054	-0.10322605818510056
13	99.59825870646766	57.3106578654889	204.0	1.0	101.55223880597015	0.00408713985234499	0.0	-0.055286508053541183	-0.10986834019422531
14	107.44700460829493	61.79994575184411	220.0	1.0	109.54838709677419	0.00462652463465929	0.0	-0.0621410571038723	-0.11808978021144867
15	115.30257510729614	66.30677784023024	235.0	1.0	117.54506437768241	0.006944667547941208	0.0	-0.06501860916614532	-0.12653976678848267
16	123.12550200803213	70.76560310157271	250.0	1.0	125.5421686746988	0.006390178110450506	0.0	-0.07652056962251663	-0.13736608624458313
17	130.92075471698112	75.18900085156474	266.0	1.0	133.53962264150942	0.006468196865171194	0.0	-0.08424760401248932	-0.14539560675621033
18	138.71708185053382	79.6267538508611	281.0	1.0	141.5373665480427	-0.0012087023351341486	0.0	-0.09300464391708374	-0.15493419766426086
19	146.4949494949495	84.04432552646641	297.0	1.0	149.53535353535352	-0.005454383324831724	0.0	-0.0939287543296814	-0.1545923352241516
20	154.26837060702874	88.4642759254603	312.0	1.0	157.5335463258786	-0.002942727878689766	0.0	-0.09575221687555313	-0.15332110226154327
21	162.03647416413375	92.88620190619956	328.0	1.0	165.53191489361703	-0.0028022034093737602	0.0	-0.0972316786646843	-0.1529175043106079
22	169.82608695652175	97.35170811271762	344.0	1.0	173.5304347826087	-0.004026256967335939	0.0	-0.1015130952000618	-0.15552958846092224
23	177.63019390581718	101.84459401283846	359.0	1.0	181.5290858725762	-0.005757699720561504	0.0	-0.1099034994840622	-0.16324038803577423
24	185.41909814323608	106.31355955049705	375.0	1.0	189.52785145888595	-0.005911489482969046	0.0	-0.11427205801010132	-0.16634118556976318
25	193.21882951653944	110.8041965566048	391.0	1.0	197.5267175572519	-0.005929572973400354	0.0	-0.11503750830888748	-0.1662825495004654
26	201.03422982885087	115.32218607651778	407.0	1.0	205.52567237163814	-0.006656837183982134	0.0	-0.11747690290212631	-0.16675832867622375
27	208.86352941176472	119.86258799141623	423.0	1.0	213.52470588235295	-0.007708132732659578	0.0	-0.12186816334724426	-0.17120729386806488
28	216.6967120181406	124.40663703303164	438.0	1.0	221.52380952380952	-0.013065304607152939	0.0	-0.12751029431819916	-0.1755099892616272
29	224.5164113785558	128.92618280508992	454.0	1.0	229.52297592997812	-0.014979244209825993	0.0	-0.12807337939739227	-0.17460143566131592
30	232.34672304439746	133.4630702498163	470.0	1.0	237.52219873150105	-0.014976182021200657	0.0	-0.1289481371641159	-0.17279654741287231
