Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	-5.666666666666667	3.9440531887330774	-1.0	-15.0	6.666666666666667	-0.0166383758187294	0.0	0.0	0.01353694312274456
2	-12.92	7.878680005737794	-1.0	-31.0	13.92	-0.016791967675089836	0.0	-0.0018800967372953892	0.010879968293011189
3	-20.75609756097561	12.254974646335139	-1.0	-47.0	21.75609756097561	-0.016157306730747223	0.0	-0.0035406071692705154	0.008380604907870293
4	-28.68421052631579	16.759556284001757	-1.0	-63.0	29.68421052631579	-0.015693606808781624	0.0	-0.005170832388103008	0.005575570743530989
5	-36.64383561643836	21.312655665683067	-1.0	-79.0	37.64383561643836	-0.017888007685542107	0.0	-0.0004411796107888222	0.0027468411717563868
6	-44.61797752808989	25.888918222427296	-1.0	-95.0	45.61797752808989	-0.01732480525970459	0.0	-0.006365187931805849	-0.00015234461170621216
7	-52.6	30.4779694537515	-1.0	-111.0	53.6	-0.016611972823739052	0.0	-0.013963812962174416	-0.003136641811579466
8	-60.586776859504134	35.07481304769248	-1.0	-127.0	61.586776859504134	-0.016595521941781044	0.0	-0.016805345192551613	-0.006260726600885391
9	-68.57664233576642	39.676744691860314	-1.0	-143.0	69.57664233576642	-0.01684441603720188	0.0	-0.018783722072839737	-0.009423334151506424
10	-76.56862745098039	44.282185684022515	-1.0	-159.0	77.56862745098039	-0.016796361654996872	0.0	-0.022649917751550674	-0.012564134784042835
11	-84.56213017751479	48.8901433508218	-1.0	-175.0	85.56213017751479	-0.01784146949648857	0.0	-0.01896083354949951	-0.01563962735235691
12	-92.55675675675676	53.49996842636098	-1.0	-191.0	93.55675675675676	-0.017696838825941086	0.0	-0.024955131113529205	-0.018757330253720284
13	-100.55223880597015	58.11122248847014	-1.0	-207.0	101.55223880597015	-0.01846359670162201	0.0	-0.02402905747294426	-0.021920982748270035
14	-108.54838709677419	62.72358165676235	-1.0	-223.0	109.54838709677419	-0.019214089959859848	0.0	-0.02296999655663967	-0.025244204327464104
15	-116.54506437768241	67.3368239084474	-1.0	-239.0	117.54506437768241	-0.01995825581252575	0.0	-0.021817635744810104	-0.02872052602469921
16	-124.5421686746988	71.95077941644925	-1.0	-255.0	125.5421686746988	-0.020362209528684616	0.0	-0.022301239892840385	-0.032345354557037354
17	-132.53962264150942	76.56531925883642	-1.0	-271.0	133.53962264150942	-0.021345151588320732	0.0	-0.01851765811443329	-0.036124542355537415
18	-140.5373665480427	81.18034654693479	-1.0	-287.0	141.5373665480427	-0.02190382033586502	0.0	-0.01742645539343357	-0.04000454396009445
19	-148.53535353535352	85.79577976168656	-1.0	-303.0	149.53535353535352	-0.02247636765241623	0.0	-0.015057066455483437	-0.04382412135601044
20	-156.5335463258786	90.41155457837209	-1.0	-319.0	157.5335463258786	-0.022838683798909187	0.0	-0.01567358337342739	-0.047622326761484146
21	-164.53191489361703	95.02762356347537	-1.0	-335.0	165.53191489361703	-0.023184603080153465	0.0	-0.01672215200960636	-0.051541220396757126
22	-172.5304347826087	99.643942201176	-1.0	-351.0	173.5304347826087	-0.023595677688717842	0.0	-0.01654215343296528	-0.05560608580708504
23	-180.5290858725762	104.26048775772739	-1.0	-367.0	181.5290858725762	-0.023794516921043396	0.0	-0.018759330734610558	-0.0598120279610157
24	-188.52785145888595	108.87722138661525	-1.0	-383.0	189.52785145888595	-0.024179866537451744	0.0	-0.019055144861340523	-0.06415306776762009
25	-196.5267175572519	113.49412333039253	-1.0	-399.0	197.5267175572519	-0.024772122502326965	0.0	-0.016291392967104912	-0.06864191591739655
26	-204.5036674816626	118.07378241129372	-1.0	-414.0	205.52567237163814	-0.006290750578045845	0.0	-0.01103572640568018	-0.0732606053352356
27	-212.46588235294118	122.63249737228996	-1.0	-430.0	213.52470588235295	-0.006209404207766056	0.0	-0.013812888413667679	-0.07779228687286377
28	-220.43083900226756	127.19971976180999	-1.0	-446.0	221.52380952380952	-0.006356495898216963	0.0	-0.015536378137767315	-0.08226772397756577
29	-228.39824945295405	131.77415448385298	-1.0	-462.0	229.52297592997812	-0.007044753059744835	0.0	-0.012431502342224121	-0.08668450266122818
30	-236.36786469344608	136.35471711493005	-1.0	-478.0	237.52219873150105	-0.007213480304926634	0.0	-0.014736038632690907	-0.09106872975826263
31	-244.33946830265847	140.94051595923298	-1.0	-494.0	245.52147239263803	-0.007155485451221466	0.0	-0.0197234395891428	-0.09542416781187057
32	-252.3128712871287	145.53080038736178	-1.0	-510.0	253.52079207920792	-0.007379085291177034	0.0	-0.02188830077648163	-0.09971889853477478
33	-260.2879078694818	150.1249447637104	-1.0	-526.0	261.5201535508637	-0.008008630014955997	0.0	-0.020619072020053864	-0.1039508804678917
34	-268.26443202979516	154.7224222049309	-1.0	-542.0	269.5195530726257	-0.008327088318765163	0.0	-0.022708699107170105	-0.10814304649829865
35	-276.24231464737795	159.322798333183	-1.0	-558.0	277.5189873417722	-0.008497104048728943	0.0	-0.02600065991282463	-0.11232037097215652
36	-284.2214411247803	163.92567650163966	-1.0	-574.0	285.518453427065	-0.00908302329480648	0.0	-0.02470395900309086	-0.11651436984539032
37	-292.2017094017094	168.53074486814555	-1.0	-590.0	293.51794871794874	-0.009722569026052952	0.0	-0.022989436984062195	-0.12073682248592377
38	-300.1830282861897	173.13772614014073	-1.0	-606.0	301.5174708818636	-0.010583236813545227	0.0	-0.017925992608070374	-0.12499251961708069
39	-308.16531604538085	177.74637294646544	-1.0	-622.0	309.51701782820095	-0.011207141913473606	0.0	-0.015495303086936474	-0.12930287420749664
40	-316.1484992101106	182.35649858186983	-1.0	-638.0	317.5165876777251	-0.011545169167220592	0.0	-0.0163582656532526	-0.13369494676589966
41	-324.1325115562404	186.96790756482235	-1.0	-654.0	325.5161787365177	-0.011755760759115219	0.0	-0.018961064517498016	-0.13802511990070343
42	-332.1172932330827	191.58045483997506	-1.0	-670.0	333.5157894736842	-0.012218831107020378	0.0	-0.018291601911187172	-0.1421853005886078
43	-340.1027900146843	196.19400629409367	-1.0	-686.0	341.51541850220264	-0.012920109555125237	0.0	-0.013961630873382092	-0.1461908221244812
44	-348.0889526542324	200.80844495151356	-1.0	-702.0	349.5150645624103	-0.013469594530761242	0.0	-0.011366823688149452	-0.15012860298156738
45	-356.0757363253857	205.4236685254716	-1.0	-718.0	357.5147265077139	-0.013797493651509285	0.0	-0.011568725109100342	-0.15414302051067352
46	-364.0631001371742	210.0395808280032	-1.0	-734.0	365.51440329218104	-0.01412105280905962	0.0	-0.011644575744867325	-0.158309668302536
47	-372.0510067114094	214.6561226862896	-1.0	-750.0	373.51409395973155	-0.014826550148427486	0.0	-0.006743167992681265	-0.16258859634399414
