Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	-8.546171400282118	4.491375983462795	-2.4703007	-17.872028	6.666666666666667	0.021139565855264664	0.0	0.0	0.08992389589548111
2	-16.33703369140625	9.548845439043927	-2.4703007	-41.161427	13.92	0.013652246445417404	0.0	0.0007459744811058044	0.08899261802434921
3	-27.381151152820124	16.912554192944018	-2.4703007	-70.201584	21.75609756097561	0.01188761368393898	0.0	0.0016750628128647804	0.08746644109487534
4	-39.800455729166664	25.203516467440835	-2.4703007	-95.4523	29.68421052631579	0.0067105647176504135	0.0	0.0015598033787682652	0.08507319539785385
5	-52.077305623929796	32.398124707906184	-2.4703007	-113.905945	37.64383561643836	0.0006932875257916749	0.0	0.0015898363199084997	0.0828276053071022
6	-63.215941011235955	37.86497368867197	-2.4703007	-122.3473	45.61797752808989	-0.002863973379135132	0.0	0.0018822194542735815	0.08132167160511017
7	-71.92837146577381	40.47847017389673	-2.4703007	-122.3473	53.6	-0.007285210769623518	0.0	0.0014850134029984474	0.08011346310377121
8	-76.2221800748967	39.49081910252597	-2.4703007	-122.3473	61.586776859504134	-0.007462118752300739	0.0	0.000990206142887473	0.07869908213615417
9	-77.5468536154197	37.90245415565987	-2.4703007	-126.14696	69.57664233576642	-0.00930109154433012	0.0	0.00036673102295026183	0.07711382955312729
10	-81.375	38.06358360767971	-2.4703007	-138.18552	77.56862745098039	-0.010592978447675705	0.0	-0.0001314455148531124	0.07616889476776123
11	-86.02735530695266	39.05053455793345	-2.4703007	-141.28813	85.56213017751479	-0.013793885707855225	0.0	6.13740921835415e-05	0.07566580921411514
12	-88.16215160472973	38.15823650948133	-2.4703007	-141.28813	93.55675675675676	-0.01694595441222191	0.0	0.0006058734143152833	0.07581031322479248
13	-89.51532377176616	36.98745501326374	-2.4703007	-141.28813	101.55223880597015	-0.01856839284300804	0.0	0.0010892736027017236	0.07622981816530228
14	-92.16013824884793	36.85934702532915	-2.4703007	-146.99304	109.54838709677419	-0.021502943709492683	0.0	0.001838931581005454	0.07674936950206757
15	-96.54094018240343	39.43289309624535	-2.4703007	-203.03302	117.54506437768241	-0.021924564614892006	0.0	0.002284343121573329	0.07734246551990509
16	-103.71856959086345	47.22828648359695	-2.4703007	-245.9655	125.5421686746988	-0.024740202352404594	0.0	0.0029643764719367027	0.0780348926782608
17	-112.57513266509434	57.724285706947974	-2.4703007	-287.29608	133.53962264150942	-0.02555282786488533	0.0	0.003989101853221655	0.07894384115934372
18	-122.76727924822065	69.84987715149033	-2.4703007	-328.7529	141.5373665480427	-0.02629835531115532	0.0	0.005149852950125933	0.07996975630521774
19	-134.0273042929293	82.7990879965714	-2.4703007	-363.76068	149.53535353535352	-0.02642412669956684	0.0	0.006163947284221649	0.08092653006315231
20	-146.14252196485623	96.15358953025475	-2.4703007	-409.40414	157.5335463258786	-0.026848040521144867	0.0	0.007265282794833183	0.08170551061630249
21	-159.19693911474164	110.20241462168535	-2.4703007	-456.7503	165.53191489361703	-0.027491495013237	0.0	0.008513165637850761	0.08236857503652573
22	-173.32153532608694	125.32236692695328	-2.4703007	-513.419	173.5304347826087	-0.028604278340935707	0.0	0.00982489064335823	0.08291009068489075
23	-188.85539300554018	142.29725821424267	-2.4703007	-595.6629	181.5290858725762	-0.0278957299888134	0.0	0.01143002137541771	0.08332541584968567
24	-207.5353945623342	165.7888145638383	-2.4703007	-766.31146	189.52785145888595	-0.02708601951599121	0.0	0.013208897784352303	0.08399137854576111
25	-230.07393050254453	195.90033556843892	-2.4703007	-784.35876	197.5267175572519	-0.029055660590529442	0.0	0.015124804340302944	0.08547531068325043
26	-251.85694911369194	220.30114974057017	-2.4703007	-802.9546	205.52567237163814	-0.03169901669025421	0.0	0.017170676961541176	0.08740687370300293
27	-272.595625	240.21050572117684	-2.4703007	-817.96027	213.52470588235295	-0.033816859126091	0.0	0.019286949187517166	0.08972783386707306
28	-292.49137259070295	257.14809518474533	-2.4703007	-839.0457	221.52380952380952	-0.036466702818870544	0.0	0.021397443488240242	0.0922631248831749
29	-311.5800054704595	271.76114174385856	-2.4703007	-854.3503	229.52297592997812	-0.039534494280815125	0.0	0.023513266816735268	0.09486115723848343
